,dataset,user_vector,content_vector,alg_type,CF_CB,N,rating_stdev,item_coverage,serendipity,user_coverage,pred_n,avg_mean_rank,pred_coverage,novelty,cat_diversity,avg_highest_rank,mae,avg_lowest_rank,content_serendipity,rmse,cat_coverage,ils,rmse_adj,mae_adj,users,items,ratings,rating_min,rating_max,rating_mean,density,rating_variance
3,movielens_1m,ratings,genre,cb_vect,CB,1000,1.117101287,100,0.101428377,100,0.00707372,399.10153,42.05891163,-1.498677573,0.155853787,154.1721866,0.9578813,687.9928637,0.205322037,1.198813983,26.98327037,0.35977279,2.601561464,2.62796616,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
4,movielens_1m,ratings,genre,cf_mllib,CF,100,1.117101287,85.65542107,0.075410866,100,0.005299748,62.09447566,3.15127309,-0.799083063,0.132100564,54.44598338,0.496809985,69.56398892,0.373481231,0.757524454,2.698327037,0.696747695,5,5,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
14,movielens_1m,ratings,genre,cf_user,CF,1000,1.117101287,37.67705382,0.032894685,100,0.007888833,427.2663032,46.90963555,-0.247678745,0.150455026,154.8669855,0.689948161,743.9778604,0.385341678,0.885210738,26.98327037,0.733767209,4.306016378,4.006378676,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
17,movielens_1m,ratings,tags,cb_kmeans_100,CB,100,1.117101287,66.46922483,0.168450742,100,0.012109152,35.23132885,7.2001997,-1.106905934,0.196409911,24.38480942,1.27432219,46.97533632,0.619159566,1.489720287,2.671343767,0.73978921,1.020465963,1,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
21,movielens_1m,ratings,tags,cb_vect,CB,1000,1.117101287,99.87123358,0.071258948,100,0.010152141,327.6886468,60.3564653,-1.204235286,0.201446837,81.47848716,1.155498257,677.7144344,0.626693288,1.356846302,26.98327037,0.76454989,1.742645086,1.61130324,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
24,movielens_1m,ratings,tags,cb_kmeans_1000,CB,1000,1.117101287,98.14576358,0.086146149,100,0.007653065,263.0064789,45.50574139,-1.210819552,0.172303384,76.36145871,1.184768166,551.4717555,0.652167549,1.392827824,26.98327037,0.801980854,1.547083074,1.460720865,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
25,movielens_1m,ratings,genre,cb_kmeans_1000,CB,1000,1.117101287,76.56451198,0.105056159,100,0.006370613,387.5523048,37.88017973,-1.570435804,0.189653102,158.5645072,1.020850144,648.7362819,0.294885733,1.261918261,26.71343767,0.617509423,2.258585432,2.304015779,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
26,movielens_1m,ratings,genre,cf_item,CF,1000,1.117101287,95.13262941,0.150583852,100,0.002103442,799.0365486,12.50723914,-1.730295443,0.135355826,702.3742055,0.822826184,877.6636653,0.387408629,1.003186872,26.98327037,0.74747054,3.664808086,3.322772571,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
27,movielens_1m,ratings,genre,cb_kmeans_100,CB,100,1.117101287,29.66778264,0.228855618,100,0.008649874,42.16442021,5.139291063,-1.394521002,0.217279229,32.86964286,1.035232424,51.75,0.299790277,1.299783876,2.698327037,0.54275793,2.052783244,2.230024503,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
29,movielens_1m,ratings,genre,cb_vect,CB,100,1.117101287,99.92274015,0.202551888,100,0.012539043,47.38447402,7.410883674,-1.414348854,0.20712533,34.28606507,0.990327771,60.89502762,0.185682269,1.272136006,2.698327037,0.161276971,2.203051292,2.461041597,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
32,movielens_1m,ratings,genre,cf_item,CF,100,1.117101287,52.66546485,0.406931431,100,6.72E-05,62.6047619,0.038941588,-3.796128761,0.1134145,61.28571429,1.17918837,64.14285714,0.404456218,1.493485826,2.698327037,0.725977161,1,1.48942676,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
33,movielens_1m,ratings,genre,cf_user,CF,100,1.117101287,23.07494206,0.011229969,100,0.011900924,58.74287788,7.082376435,-0.065772888,0.156243055,48.61041903,0.646703792,68.94479049,0.402233188,0.841586958,2.698327037,0.714172144,4.543114584,4.228854257,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
35,movielens_1m,ratings,genre,cf_mllib,CF,1000,1.117101287,93.278393,0.058938008,100,0.007956171,507.1685945,47.30903645,-0.663482133,0.150290059,242.4315562,0.624338013,795.9585735,0.370237689,0.814772835,26.98327037,0.734799414,4.68885116,4.343917551,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
38,movielens_1m,ratings,tags,cb_vect,CB,100,1.117101287,79.70641257,0.086812822,100,0.025078086,43.23927758,14.90664004,-0.737728999,0.372767308,24.22841226,1.0446253,63.52367688,0.578825346,1.209603631,2.698327037,0.656358241,2.542918993,2.181701784,6040,3706,1000209,1,5,3.581564453,0.044683626,1.247915285
42,last_fm,num_plays_log,tags,cb_vect,CB,100,0.664708618,36.46778584,0.191542962,99.57716702,0.018480945,36.22356783,37.2417523,-0.75216988,0.848234156,22.78726287,1.376896274,51.38482385,0.478413628,1.540619116,0.564752535,0.527197644,1,1,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
43,last_fm,num_plays_log,tags,cb_vect,CB,1000,0.664708618,60.5319873,0.152510156,99.57716702,0.003494901,197.453997,70.42725798,-0.969982402,0.475662399,68.28315613,1.051517749,399.7604924,0.595376553,1.268129602,5.647525353,0.713827436,2.011737654,2.241445713,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
54,last_fm,num_plays_log,tags,cf_mllib,CF,1000,0.664708618,84.07441016,0.185931676,99.94714588,0.001738594,495.3832908,35.03515414,-0.687838718,0.281105126,360.7776999,0.35309069,634.9957924,0.765753123,0.463306185,5.668508727,0.905942878,5,4.906216771,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
57,last_fm,num_plays_log,tags,cb_kmeans_100,CB,100,0.664708618,38.87250454,0.299852932,99.57716702,0.004932904,22.04611547,9.940508383,-1.047330382,0.336584573,18.47845468,1.09881791,25.87518574,0.610069859,1.346373201,0.564752535,0.736131098,1.721223741,2.060977188,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
59,last_fm,num_plays_log,tags,cf_user,CF,1000,0.664708618,88.69101633,0.180318216,99.94714588,0.000479871,621.8358454,9.670091942,-0.670548766,0.196982813,581.5130435,0.380030023,662.0072464,0.804392351,0.482474807,5.668508727,0.938859915,4.928828027,4.803432731,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
64,last_fm,num_plays_log,tags,cf_item,CF,100,0.664708618,90.73275862,0.537373295,99.94714588,8.59E-05,42.42857143,0.173066522,-1.321690443,0.136598709,42.42857143,0.560563379,42.42857143,0.834816807,0.559093281,0.566850873,0.929783751,4.644348108,4.114627713,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
67,last_fm,num_plays_log,tags,cf_item,CF,1000,0.664708618,93.54582577,0.39658737,99.94714588,0.000140633,582.8231239,2.833964305,-1.259502867,0.153250657,537.1099476,0.328510438,624.2408377,0.823668105,0.4642147,5.668508727,0.942685908,4.996626735,5,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
68,last_fm,num_plays_log,tags,cb_kmeans_1000,CB,1000,0.664708618,59.83725337,0.196697115,99.57716702,0.002174987,140.3313355,43.82909681,-1.122065567,0.269235132,68.63972856,1.099429152,238.8500925,0.67813309,1.316898584,5.534574846,0.846934912,1.830661269,2.058645062,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
69,last_fm,num_plays_log,tags,cf_mllib,CF,100,0.664708618,27.71665154,0.235011042,99.94714588,0.001519055,57.53797043,3.061114116,-0.60094249,0.253286485,55.80241935,0.554019465,59.32258065,0.78383771,0.703237465,0.566850873,0.904022349,4.109149169,4.139595293,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
